elbo_train,elbo_validation
736.9859008789062,757.8410034179688
697.4672241210938,679.76123046875
669.4656372070312,660.05615234375
657.2710571289062,648.43603515625
648.8226318359375,640.5325317382812
641.8270874023438,634.7505493164062
636.1264038085938,628.7745361328125
631.2649536132812,624.6735229492188
626.9216918945312,620.0436401367188
623.120849609375,616.7355346679688
619.67822265625,613.3545532226562
616.5848388671875,610.1883544921875
613.768310546875,607.4368286132812
611.1591186523438,604.8956298828125
608.8321533203125,602.8882446289062
606.5672607421875,601.0751342773438
604.5743408203125,598.8529052734375
602.6607055664062,597.1333618164062
600.9275512695312,595.6417846679688
599.2560424804688,593.9082641601562
597.712890625,592.6182861328125
596.255859375,591.0578002929688
594.858642578125,590.316162109375
593.5831909179688,588.8425903320312
592.3865966796875,587.2442016601562
591.205810546875,586.2220458984375
590.1268920898438,585.3292236328125
589.0755615234375,584.7280883789062
588.0546264648438,583.5757446289062
587.1316528320312,582.7687377929688
586.2257080078125,581.877197265625
585.360107421875,580.917236328125
584.50146484375,580.4030151367188
583.7543334960938,579.6368408203125
582.9183959960938,578.876220703125
582.2063598632812,577.9119873046875
581.4696655273438,577.467529296875
580.8011474609375,577.1068725585938
580.1162719726562,576.2474365234375
579.4793090820312,575.5076904296875
578.8547973632812,574.8905029296875
578.2283325195312,574.3592529296875
577.6260986328125,573.958984375
577.0790405273438,573.3330078125
576.5372314453125,573.0067749023438
575.9908447265625,572.4894409179688
575.4752807617188,571.8827514648438
574.9467163085938,571.5347290039062
574.4675903320312,570.7049560546875
573.97314453125,570.4512329101562
573.521728515625,569.9992065429688
573.0718994140625,569.6173095703125
572.5828857421875,569.3211059570312
572.1497802734375,569.0010986328125
571.7488403320312,568.4348754882812
571.3134765625,568.0670166015625
570.8980712890625,567.737548828125
570.517822265625,567.3715209960938
570.1604614257812,566.7322998046875
569.7752075195312,566.7214965820312
569.3724975585938,566.199462890625
569.0266723632812,565.7741088867188
568.70263671875,565.605712890625
568.339599609375,565.240478515625
568.0127563476562,565.1845092773438
567.6799926757812,564.66015625
567.3634643554688,564.3849487304688
567.054931640625,564.1022338867188
566.7420043945312,563.7706909179688
566.4498901367188,563.5192260742188
566.1549072265625,563.3927612304688
565.8723754882812,563.15966796875
565.6119384765625,562.5966186523438
565.3121948242188,562.6317138671875
565.05859375,562.361083984375
564.781982421875,561.8275756835938
564.53076171875,561.610107421875
564.2361450195312,561.5469360351562
563.9951171875,561.4652709960938
563.765380859375,561.1127319335938
563.5349731445312,560.8433227539062
563.292724609375,560.6939697265625
563.0504760742188,560.545654296875
562.8065185546875,560.3546142578125
562.5853881835938,559.8750610351562
562.3694458007812,559.7020874023438
562.1524658203125,559.8568115234375
561.935791015625,559.3692016601562
561.7172241210938,559.2796020507812
561.5362548828125,558.9982299804688
561.3258056640625,558.7531127929688
561.1221923828125,558.663818359375
560.9171752929688,558.4252319335938
560.7464599609375,558.146240234375
560.5260620117188,558.0670166015625
560.3763427734375,558.0779418945312
560.1901245117188,557.7556762695312
559.9968872070312,557.5858764648438
559.803466796875,557.6858520507812
559.6410522460938,557.4542236328125
559.4832763671875,557.252685546875
559.2941284179688,556.7686157226562
559.1397705078125,556.954345703125
558.9944458007812,556.6661987304688
558.8180541992188,556.5740966796875
558.6519165039062,556.5088500976562
558.485107421875,556.4088134765625
558.3410034179688,556.118408203125
558.1809692382812,556.1196899414062
558.0255737304688,555.7178344726562
557.8744506835938,555.7567749023438
557.7420654296875,555.7549438476562
557.5870361328125,555.3989868164062
557.4583129882812,555.2440185546875
557.2971801757812,555.2225952148438
557.181884765625,555.16162109375
557.05859375,555.1397705078125
556.9118041992188,554.8272094726562
556.7650146484375,554.8556518554688
556.6201171875,554.5505981445312
556.4862670898438,554.5552978515625
556.3636474609375,554.4926147460938
556.2388916015625,554.3583374023438
556.1061401367188,554.2193603515625
556.01416015625,554.2092895507812
555.85498046875,554.0213623046875
555.7409057617188,553.9999389648438
555.6285400390625,553.7965087890625
555.5225830078125,553.73974609375
555.4180908203125,553.5516967773438
555.28564453125,553.6622924804688
555.1760864257812,553.3674926757812
555.0664672851562,553.219482421875
554.9586181640625,553.1088256835938
554.8430786132812,553.1376953125
554.7330932617188,552.977783203125
554.6329956054688,553.122802734375
554.5169677734375,553.0018310546875
554.4215698242188,552.8163452148438
554.3119506835938,552.6723022460938
554.1971435546875,552.5087890625
554.1152954101562,552.448486328125
554.0082397460938,552.4608764648438
553.916259765625,552.3731079101562
553.8002319335938,552.2384643554688
553.710693359375,552.3123779296875
553.6187133789062,552.0938720703125
553.5321044921875,551.9188842773438
553.4443969726562,551.9313354492188
553.3428955078125,551.7843627929688
553.2615356445312,551.8088989257812
553.174560546875,551.73974609375
553.1007080078125,551.6828002929688
553.000732421875,551.6912841796875
552.9088745117188,551.5325317382812
552.8394165039062,551.431884765625
552.760986328125,551.239501953125
552.68701171875,551.2879638671875
552.5895385742188,551.1902465820312
552.5377807617188,551.0673828125
552.4472045898438,551.0231323242188
552.3566284179688,551.1343383789062
552.2996215820312,550.927490234375
552.2262573242188,550.8985595703125
552.1547241210938,550.8251953125
552.0799560546875,550.77685546875
552.0140991210938,550.7378540039062
551.9443359375,550.766845703125
551.8613891601562,550.631103515625
551.8016357421875,550.6770629882812
551.728271484375,550.4981689453125
551.66845703125,550.4374389648438
551.5869750976562,550.3601684570312
551.535400390625,550.3756103515625
551.480224609375,550.3173217773438
551.408447265625,550.240478515625
551.3617553710938,550.1002197265625
551.302490234375,550.09521484375
551.232421875,550.0906982421875
551.185546875,550.108642578125
551.11083984375,550.0320434570312
551.0733642578125,550.0052490234375
550.9783325195312,549.9229125976562
550.9268798828125,549.9402465820312
550.8840942382812,549.7803344726562
550.8304443359375,549.8251953125
550.7654418945312,549.721923828125
550.720458984375,549.647216796875
550.6845092773438,549.5939331054688
550.6392822265625,549.6215209960938
550.5584106445312,549.4993896484375
550.5011596679688,549.4940185546875
550.4573974609375,549.48486328125
550.4015502929688,549.392822265625
550.3566284179688,549.3970336914062
550.304931640625,549.2568969726562
550.277587890625,549.2482299804688
550.2142944335938,549.3087158203125
550.1692504882812,549.231689453125
550.1100463867188,549.18115234375
550.0814819335938,549.0789184570312
550.012451171875,549.1072387695312
549.9840698242188,549.0821533203125
549.9218139648438,548.9909057617188
549.8889770507812,548.95361328125
549.8580932617188,548.9338989257812
549.807861328125,548.8772583007812
549.7526245117188,548.8362426757812
549.7291870117188,548.793701171875
549.6873168945312,548.8214111328125
549.6383056640625,548.8424072265625
549.5850219726562,548.7269287109375
549.5621337890625,548.6561279296875
549.49609375,548.6495361328125
549.4599609375,548.6473388671875
549.4523315429688,548.5472412109375
549.383544921875,548.6044921875
549.3737182617188,548.552490234375
549.3319702148438,548.569580078125
549.2728271484375,548.53173828125
549.2421264648438,548.4064331054688
549.2144165039062,548.4393310546875
549.1892700195312,548.3984985351562
549.1306762695312,548.4230346679688
549.1162719726562,548.3624877929688
549.0576171875,548.3241577148438
549.0205688476562,548.2640380859375
549.0145874023438,548.2908325195312
548.9689331054688,548.2906494140625
548.9153442382812,548.22998046875
548.8847045898438,548.2234497070312
548.8511352539062,548.1498413085938
548.8280639648438,548.1998901367188
548.79248046875,548.1240844726562
548.7772827148438,548.1286010742188
548.740234375,548.1220703125
548.7018432617188,548.1046142578125
548.6765747070312,548.01416015625
548.6344604492188,548.0313720703125
548.6237182617188,548.0640869140625
548.6060180664062,547.931640625
548.561767578125,547.956787109375
548.5195922851562,547.9391479492188
548.497802734375,547.91455078125
548.4548950195312,547.898193359375
548.4425048828125,547.9122314453125
548.4160766601562,547.7608032226562
548.375,547.7137451171875
548.376220703125,547.8257446289062
548.31982421875,547.735595703125
548.2919921875,547.7589111328125
548.2728881835938,547.678466796875
548.2382202148438,547.6771850585938
548.2146606445312,547.6373901367188
548.194091796875,547.6587524414062
548.1617431640625,547.6373901367188
548.12890625,547.6122436523438
548.1187133789062,547.5947875976562
548.07958984375,547.5810546875
548.0618286132812,547.5159912109375
548.035400390625,547.4791870117188
548.01708984375,547.4185791015625
547.9756469726562,547.5364379882812
547.9361572265625,547.4683227539062
